team_id,team_name,team_flag_link
1,Algeria,
2,Argentina,
3,Australia,
4,Belgium,
5,Bosnia-Herzegovina,
6,Brazil,
7,Cameroon,
8,Chile,
9,Colombia,
10,Costa Rica,
11,Côte d'Ivoire,
12,Croatia,
13,Ecudor,
14,England,
15,France,
16,Germany,
17,Ghana,
18,Greece,
19,Honduras,
20,Iran,
21,Italy,
22,Japan,
23,Mexico,
24,Netherlands,
25,Nigeria,
26,Portugal,
27,Russia,
28,South Korea,
29,Spain,
30,Switzerland,
31,United States,
32,Uruguay,
